year,type_code,count,source
2013,biosocial,2,10 сола 2013-2024
2013,nat.geo.avalanche,14,10 сола 2013-2024
2013,nat.geo.mudflow,20,10 сола 2013-2024
2013,nat.geo.rockfall,8,10 сола 2013-2024
2013,nat.geophys.earthquake,25,10 сола 2013-2024
2013,nat.hydro.flood,6,10 сола 2013-2024
2013,nat.meteo.downpour,2,10 сола 2013-2024
2013,nat.meteo.snowfall,2,10 сола 2013-2024
2013,nat.meteo.windstorm,4,10 сола 2013-2024
2014,biosocial,1,10 сола 2013-2024
2014,nat.geo.avalanche,15,10 сола 2013-2024
2014,nat.geo.mudflow,18,10 сола 2013-2024
2014,nat.geo.rockfall,8,10 сола 2013-2024
2014,nat.geophys.earthquake,11,10 сола 2013-2024
2014,nat.hydro.flood,2,10 сола 2013-2024
2014,nat.meteo.downpour,3,10 сола 2013-2024
2014,nat.meteo.windstorm,9,10 сола 2013-2024
2015,nat.geo.avalanche,6,10 сола 2013-2024
2015,nat.geo.mudflow,42,10 сола 2013-2024
2015,nat.geo.rockfall,5,10 сола 2013-2024
2015,nat.geophys.earthquake,15,10 сола 2013-2024
2015,nat.hydro.flood,9,10 сола 2013-2024
2015,nat.meteo.downpour,7,10 сола 2013-2024
2015,nat.meteo.snowfall,2,10 сола 2013-2024
2015,nat.meteo.windstorm,3,10 сола 2013-2024
2015,tech.hydrodynamic,1,10 сола 2013-2024
2016,nat.geo.avalanche,1,10 сола 2013-2024
2016,nat.geo.mudflow,34,10 сола 2013-2024
2016,nat.geo.rockfall,7,10 сола 2013-2024
2016,nat.geophys.earthquake,2,10 сола 2013-2024
2016,nat.meteo.downpour,3,10 сола 2013-2024
2016,nat.meteo.windstorm,8,10 сола 2013-2024
2017,nat.geo.avalanche,15,10 сола 2013-2024
2017,nat.geo.mudflow,19,10 сола 2013-2024
2017,nat.geo.rockfall,22,10 сола 2013-2024
2017,nat.geophys.earthquake,19,10 сола 2013-2024
2017,nat.hydro.flood,8,10 сола 2013-2024
2017,nat.hydro.waterlogging,3,10 сола 2013-2024
2017,nat.meteo.snowfall,3,10 сола 2013-2024
2017,nat.meteo.windstorm,5,10 сола 2013-2024
2018,biosocial,1,10 сола 2013-2024
2018,nat.geo.avalanche,8,10 сола 2013-2024
2018,nat.geo.mudflow,48,10 сола 2013-2024
2018,nat.geo.rockfall,52,10 сола 2013-2024
2018,nat.geophys.earthquake,30,10 сола 2013-2024
2018,nat.hydro.flood,11,10 сола 2013-2024
2018,nat.meteo.downpour,7,10 сола 2013-2024
2018,nat.meteo.snowfall,5,10 сола 2013-2024
2018,nat.meteo.windstorm,7,10 сола 2013-2024
2019,biosocial,1,10 сола 2013-2024
2019,nat.geo.avalanche,445,10 сола 2013-2024
2019,nat.geo.mudflow,80,10 сола 2013-2024
2019,nat.geo.rockfall,50,10 сола 2013-2024
2019,nat.geophys.earthquake,25,10 сола 2013-2024
2019,nat.hydro.flood,32,10 сола 2013-2024
2019,nat.meteo.downpour,18,10 сола 2013-2024
2019,nat.meteo.snowfall,12,10 сола 2013-2024
2019,nat.meteo.windstorm,18,10 сола 2013-2024
2020,nat.geo.avalanche,95,10 сола 2013-2024
2020,nat.geo.mudflow,36,10 сола 2013-2024
2020,nat.geo.rockfall,15,10 сола 2013-2024
2020,nat.geophys.earthquake,30,10 сола 2013-2024
2020,nat.hydro.flood,4,10 сола 2013-2024
2020,nat.meteo.downpour,11,10 сола 2013-2024
2020,nat.meteo.snowfall,1,10 сола 2013-2024
2020,nat.meteo.windstorm,21,10 сола 2013-2024
2021,nat.geo.avalanche,153,10 сола 2013-2024
2021,nat.geo.mudflow,53,10 сола 2013-2024
2021,nat.geo.rockfall,50,10 сола 2013-2024
2021,nat.geophys.earthquake,33,10 сола 2013-2024
2021,nat.hydro.flood,19,10 сола 2013-2024
2021,nat.meteo.downpour,9,10 сола 2013-2024
2021,nat.meteo.snowfall,2,10 сола 2013-2024
2021,nat.meteo.windstorm,40,10 сола 2013-2024
2022,nat.geo.avalanche,448,10 сола 2013-2024
2022,nat.geo.mudflow,109,10 сола 2013-2024
2022,nat.geo.rockfall,62,10 сола 2013-2024
2022,nat.geophys.earthquake,21,10 сола 2013-2024
2022,nat.hydro.flood,17,10 сола 2013-2024
2022,nat.meteo.downpour,25,10 сола 2013-2024
2022,nat.meteo.snowfall,4,10 сола 2013-2024
2022,nat.meteo.windstorm,11,10 сола 2013-2024
2023,nat.geo.avalanche,335,10 сола 2013-2024
2023,nat.geo.mudflow,79,10 сола 2013-2024
2023,nat.geo.rockfall,48,10 сола 2013-2024
2023,nat.geophys.earthquake,47,10 сола 2013-2024
2023,nat.hydro.flood,17,10 сола 2013-2024
2023,nat.meteo.downpour,15,10 сола 2013-2024
2023,nat.meteo.snowfall,6,10 сола 2013-2024
2023,nat.meteo.windstorm,10,10 сола 2013-2024
